"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"DGAT2","0.0000510","0.136","0.0550","4","hsa-miR-4511","hsa-miR-3975","hsa-miR-5582-5p","hsa-miR-548ah-5p","","",""
"ABCC12","0.110","0.610","0.285","2","hsa-miR-922","hsa-miR-6734-3p","","","","",""
"ABCC6","0.0941","0.610","0.260","2","hsa-miR-6769b-5p","hsa-miR-4516","","","","",""
"ABHD17B","0.0820","0.610","0.240","2","hsa-miR-548ah-5p","hsa-miR-512-5p","","","","",""
"ABI2","0.114","0.610","0.470","4","hsa-miR-6769b-5p","hsa-miR-6756-5p","hsa-miR-520d-3p","hsa-miR-134-3p","","",""
"ABL1","0.133","0.610","0.320","2","hsa-miR-4511","hsa-miR-6815-5p","","","","",""
"ACACA","0.0526","0.610","0.287","3","hsa-miR-378c","hsa-miR-6735-5p","hsa-miR-6769b-5p","","","",""
"ACOX1","0.0242","0.610","0.283","4","hsa-miR-4474-3p","hsa-miR-520d-3p","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"ACVR2B","0.219","0.610","0.440","2","hsa-miR-29b-1-5p","hsa-miR-134-3p","","","","",""
"ADH5","0.150","0.610","0.345","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"ADM","0.179","0.610","0.385","2","hsa-miR-3975","hsa-miR-6769b-5p","","","","",""
"AGO2","0.353","0.610","0.750","4","hsa-miR-548h-5p","hsa-miR-6769b-5p","hsa-miR-5582-5p","hsa-miR-4803","","",""
"AHCY","0.0790","0.610","0.235","2","hsa-miR-6715b-5p","hsa-miR-29b-1-5p","","","","",""
"AHCYL2","0.0526","0.610","0.287","3","hsa-miR-4516","hsa-miR-1225-3p","hsa-miR-6734-3p","","","",""
"AKAP11","0.321","0.610","0.575","2","hsa-miR-548ah-5p","hsa-miR-548h-5p","","","","",""
"AKR7A2","0.133","0.610","0.427","3","hsa-miR-4511","hsa-miR-548ah-5p","hsa-miR-6715b-5p","","","",""
"AKT3","0.0880","0.610","0.250","2","hsa-miR-5582-5p","hsa-miR-29b-1-5p","","","","",""
