Feature,Importance
hsa-miR-6805-3p,-0.08555831121511477
hsa-miR-6836-3p,-0.04165675791029131
hsa-miR-5100,0.24909653849298777
hsa-miR-504-3p,0.05578176049200083
hsa-miR-17-3p,0.14271696427948427
hsa-miR-1290,0.14413002400904676
hsa-miR-6839-5p,0.03419987195636753
hsa-miR-6741-5p,0.09221891321873943
hsa-miR-6780a-5p,0.032526412064578195
hsa-miR-1225-3p,-0.027921543236082296
hsa-miR-516a-5p,-0.05131814595537483
hsa-miR-4456,-0.20390865287052515
hsa-miR-1224-5p,-0.11168865122296627
hsa-miR-129-1-3p,-0.051358169808561074
hsa-miR-1470,-0.03023344907311227
hsa-miR-5189-3p,0.0479838078785374
hsa-miR-6819-5p,0.08102760414672527
hsa-miR-6730-5p,0.08510225059194841
hsa-miR-646,-0.0507593774392391
hsa-miR-6798-3p,-0.0598413052192413
hsa-miR-6775-5p,0.06234850616491277
hsa-miR-3181,-0.054013981974321765
hsa-miR-6787-5p,-0.10189863405817656
hsa-miR-6880-3p,-0.06921265886685679
hsa-miR-6805-3p,0.0
hsa-miR-6836-3p,0.0
hsa-miR-5100,1.0
hsa-miR-504-3p,0.0
hsa-miR-17-3p,0.0
hsa-miR-1290,0.0
hsa-miR-6839-5p,0.0
hsa-miR-6741-5p,0.0
hsa-miR-6780a-5p,0.0
hsa-miR-1225-3p,0.0
hsa-miR-516a-5p,0.0
hsa-miR-4456,0.0
hsa-miR-1224-5p,0.0
hsa-miR-129-1-3p,0.0
hsa-miR-1470,0.0
hsa-miR-5189-3p,0.0
hsa-miR-6819-5p,0.0
hsa-miR-6730-5p,0.0
hsa-miR-646,0.0
hsa-miR-6798-3p,0.0
hsa-miR-6775-5p,0.0
hsa-miR-3181,0.0
hsa-miR-6787-5p,0.0
hsa-miR-6880-3p,0.0
