Feature,Normalized Importance
SVM_hsa-miR-6746-5p,1.0
SVM_hsa-miR-642b-3p,-1.1180985294466679
SVM_hsa-miR-663a,-0.929027232951639
SVM_hsa-miR-3917,-0.8861255122631041
SVM_hsa-miR-8069,0.2909534164284971
SVM_hsa-miR-6766-5p,0.1822240601614487
SVM_hsa-miR-1247-3p,-0.7636854810146321
SVM_hsa-miR-4690-5p,0.14160720699830845
SVM_hsa-miR-92a-2-5p,-0.7235322816481189
SVM_hsa-miR-3940-5p,-0.0
XGB_hsa-miR-6746-5p,1.0
XGB_hsa-miR-642b-3p,-1.1180985294466679
XGB_hsa-miR-663a,-0.929027232951639
XGB_hsa-miR-3917,-0.8861255122631041
XGB_hsa-miR-8069,0.2909534164284971
XGB_hsa-miR-6766-5p,0.1822240601614487
XGB_hsa-miR-1247-3p,-0.7636854810146321
XGB_hsa-miR-4690-5p,0.14160720699830845
XGB_hsa-miR-92a-2-5p,-0.7235322816481189
XGB_hsa-miR-3940-5p,-0.0
