Feature,Normalized Importance
SVM_hsa-miR-3130-3p,1.0
SVM_hsa-miR-374c-5p,0.8839122353584792
SVM_hsa-miR-4741,0.7136123423484256
SVM_hsa-miR-7846-3p,-0.814169609987053
SVM_hsa-miR-6869-3p,-0.6384163240933042
SVM_hsa-miR-1227-5p,0.2090862136088341
SVM_hsa-miR-4462,0.03225415332839209
SVM_hsa-miR-4262,0.02952958414506148
SVM_hsa-miR-5739,0.0018481771613465057
SVM_hsa-miR-548h-5p,-0.0
XGB_hsa-miR-3130-3p,1.0
XGB_hsa-miR-374c-5p,0.8839122353584792
XGB_hsa-miR-4741,0.7136123423484256
XGB_hsa-miR-7846-3p,-0.814169609987053
XGB_hsa-miR-6869-3p,-0.6384163240933042
XGB_hsa-miR-1227-5p,0.2090862136088341
XGB_hsa-miR-4462,0.03225415332839209
XGB_hsa-miR-4262,0.02952958414506148
XGB_hsa-miR-5739,0.0018481771613465057
XGB_hsa-miR-548h-5p,-0.0
