Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
10.05,Breast Cancer,"Skin diseases, Reproductive diseases, Immune diseases, Cancer diseases, Genetic diseases, Rare diseases",1682,13,"MMP2, CKS1B, CDH2, IGFBP5, CXCL8, BMI1, CCN2, CDH1, TCF4, SOX9, SNAI1, SMAD3, TNF",https://www.malacards.org/card/breast_cancer,"Causative mutation, Genetic tests","CDH1, CKS1B",Breast,"CDH1, SOX9, TCF4"
9.76,Colorectal Cancer,"Gastrointestinal diseases, Cancer diseases, Metabolic diseases, Genetic diseases, Rare diseases",1701,13,"MMP2, CDH2, REG3A, GREM1, IGFBP5, CXCL8, BMI1, CDH1, SMAD3, SNAI1, SOX9, TCF4, TNF",https://www.malacards.org/card/colorectal_cancer,Causative mutation,"CDH1, SOX9",Colon,"CXCL8, GREM1, IGFBP5"
8.62,Gastric Cancer,"Blood diseases, Gastrointestinal diseases, Immune diseases, Cancer diseases, Genetic diseases, Rare diseases",919,11,"GREM1, REG3A, PRNP, MMP2, CDH2, CXCL8, CDH1, CCN2, TNF, SNAI1, SMAD3",https://www.malacards.org/card/gastric_cancer,Causative mutation,CDH1,,
8.15,Nervous System Disease,"Neuronal diseases, Blood diseases, Immune diseases, Rare diseases",986,12,"TBK1, SOX9, SNAP25, SNAI1, SMAD3, TNF, CDH2, MMP2, PRNP, CXCL8, CCN2, CDH1",https://www.malacards.org/card/nervous_system_disease,,,,
8.07,Interstitial Lung Disease 2,"Neuronal diseases, Blood diseases, Respiratory diseases, Cancer diseases, Genetic diseases, Rare diseases",238,10,"CCN2, CDH1, CXCL8, GREM1, IGFBP5, MMP2, CDH2, TNF, SNAI1, SMAD3",https://www.malacards.org/card/interstitial_lung_disease_2,,,,
8.01,Hepatocellular Carcinoma,"Gastrointestinal diseases, Liver diseases, Cancer diseases, Genetic diseases, Rare diseases",878,11,"CDH2, MMP2, REG3A, CXCL8, CCN2, BMI1, CDH1, TNF, SNAI1, SMAD3, TCF4",https://www.malacards.org/card/hepatocellular_carcinoma,,,,
7.90,Ovarian Cancer,"Endocrine diseases, Reproductive diseases, Cancer diseases, Genetic diseases, Rare diseases",845,10,"IGFBP5, MMP2, CDH2, CCBE1, CXCL8, CDH1, CCN2, TNF, SMAD3, SNAI1",https://www.malacards.org/card/ovarian_cancer,"Causative mutation, Genetic tests",CDH1,,
7.03,Pancreatic Cancer,"Gastrointestinal diseases, Endocrine diseases, Cancer diseases, Genetic diseases, Rare diseases",640,9,"TNF, SNAI1, SMAD3, CXCL8, CCN2, CDH1, CDH2, MMP2, REG3A",https://www.malacards.org/card/pancreatic_cancer,,,,
6.94,Prostate Cancer,"Reproductive diseases, Cancer diseases, Genetic diseases, Rare diseases",1262,9,"SMAD3, SOX9, TNF, IGFBP5, MMP2, CDH2, CDH1, BMI1, CXCL8",https://www.malacards.org/card/prostate_cancer,"Causative mutation, Risk factor, Genetic tests",CDH1,Bone,CDH1
6.67,Pheochromocytoma,"Neuronal diseases, Blood diseases, Endocrine diseases, Cancer diseases, Genetic diseases, Rare diseases",220,8,"CDH2, ADCYAP1, EGLN1, MMP2, CDH1, TNF, SNAP25, SOX9",https://www.malacards.org/card/pheochromocytoma,,,,
6.42,Lung Cancer,"Neuronal diseases, Endocrine diseases, Respiratory diseases, Cancer diseases, Genetic diseases",1236,9,"TNF, GREM1, MMP2, CCBE1, CDH2, CDH1, CCN2, BMI1, CXCL8",https://www.malacards.org/card/lung_cancer,,,Lung,GREM1
6.29,Renal Fibrosis,Nephrological diseases,57,6,"TNF, SMAD3, CCN2, CDH1, MMP2, GREM1",https://www.malacards.org/card/renal_fibrosis,,,,
6.17,Cystic Fibrosis,"Gastrointestinal diseases, Liver diseases, Reproductive diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases",406,7,"TNF, CDH1, CXCL8, ADCYAP1, ADORA2B, REG3A, SLC9A3",https://www.malacards.org/card/cystic_fibrosis,Risk factor,SLC9A3,,
6.16,Microcephaly,"Neuronal diseases, Skin diseases, Oral diseases, Mental diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",690,7,"TNF, SNAP25, SOX9, TBK1, TCF4, TMEM70, NOTCH2NLA",https://www.malacards.org/card/microcephaly,Causative mutation,"SNAP25, TCF4",,
6.11,Pulmonary Fibrosis,Respiratory diseases,234,7,"TNF, SMAD3, CXCL8, CCN2, CDH1, IGFBP5, MMP2",https://www.malacards.org/card/pulmonary_fibrosis,,,Lung,CXCL8
5.77,Rhabdomyosarcoma,"Bone diseases, Neuronal diseases, Muscle diseases, Respiratory diseases, Cancer diseases, Genetic diseases, Rare diseases",246,7,"BMI1, CCN2, CDH2, MMP2, TNF, SNAI1, SMAD3",https://www.malacards.org/card/rhabdomyosarcoma,,,,
5.76,Connective Tissue Disease,"Bone diseases, Skin diseases, Muscle diseases, Cancer diseases, Rare diseases",477,6,"MMP2, CXCL8, CCN2, SMAD3, SOX9, TNF",https://www.malacards.org/card/connective_tissue_disease,Causative mutation,"SMAD3, SOX9",,
5.51,Endometrial Cancer,"Reproductive diseases, Cancer diseases, Genetic diseases",386,6,"SNAI1, SMAD3, IGFBP5, CDH2, MMP2, CDH1",https://www.malacards.org/card/endometrial_cancer,"Causative mutation, Genetic tests",CDH1,,
5.42,Neuroblastoma,"Neuronal diseases, Endocrine diseases, Cancer diseases, Genetic diseases, Rare diseases, Fetal diseases",346,7,"PRNP, CDH2, MMP2, CXCL8, BMI1, CDH1, TNF",https://www.malacards.org/card/neuroblastoma,,,,
5.42,Medulloblastoma,"Neuronal diseases, Skin diseases, Cancer diseases, Genetic diseases, Rare diseases, Fetal diseases",351,7,"CXCL8, CDH1, CCN2, BMI1, CDH2, SMAD3, SOX9",https://www.malacards.org/card/medulloblastoma,,,,
5.33,Parkinson'S Disease,"Neuronal diseases, Mental diseases, Muscle diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases",403,6,"CXCL8, NOTCH2NLA, PRNP, TNF, SNAP25, SEPTIN4",https://www.malacards.org/card/parkinsons_disease,Causative mutation,NOTCH2NLA,,
5.27,Retinitis Pigmentosa,"Bone diseases, Neuronal diseases, Nephrological diseases, Liver diseases, Eye diseases, Ear diseases, Genetic diseases, Rare diseases",1243,8,"CABP4, CDH1, CXCL8, CDH2, POU3F3, SOX9, TMEM70, TNF",https://www.malacards.org/card/retinitis_pigmentosa,,,,
5.17,Osteoarthritis,Bone diseases,456,7,"TNF, SOX9, SMAD3, CXCL8, JUNB, MMP2, CDH2",https://www.malacards.org/card/osteoarthritis,,,Cartilage,"CDH2, CXCL8, JUNB"
5.14,Ureteral Disease,"Nephrological diseases, Muscle diseases",48,5,"CDH1, CCN2, SNAI1, SMAD3, TNF",https://www.malacards.org/card/ureteral_disease,,,,
5.08,Urinary Tract Obstruction,Nephrological diseases,51,5,"SNAI1, SMAD3, TNF, CDH1, CCN2",https://www.malacards.org/card/urinary_tract_obstruction,,,,
4.96,"Leukemia, Acute Myeloid","Blood diseases, Immune diseases, Cancer diseases, Genetic diseases, Rare diseases",644,7,"SNAI1, TNF, CDH2, MMP2, CXCL8, CDH1, BMI1",https://www.malacards.org/card/leukemia_acute_myeloid,,,,
