Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
8.53,Myopathy,"Bone diseases, Nephrological diseases, Neuronal diseases, Respiratory diseases, Muscle diseases, Oral diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases, Cancer diseases",459,11,"ABHD5, DNAJB4, ETFDH, FDFT1, FKBP14, FKTN, FUS, GOLGA2, RILPL1, TOP3A, TOR1AIP1",https://www.malacards.org/card/myopathy,,,,
7.91,Retinitis Pigmentosa,"Bone diseases, Nephrological diseases, Liver diseases, Eye diseases, Neuronal diseases, Ear diseases, Genetic diseases, Rare diseases",1243,11,"FUS, GRM6, IDH2, IFT22, PIK3CB, PIWIL1, POU3F3, SLC4A4, SLC7A14, TERT, TGOLN2",https://www.malacards.org/card/retinitis_pigmentosa,Causative mutation,SLC7A14,,
7.75,Lung Cancer,"Endocrine diseases, Neuronal diseases, Respiratory diseases, Genetic diseases, Cancer diseases",1236,12,"APEX1, CAV2, CCBE1, E2F2, IDH2, ITGA2, PIK3CB, PRC1, PSMA1, SLC7A11, SNIP1, TERT",https://www.malacards.org/card/lung_cancer,,,Lung,"CAV2, PRC1, SLC7A11"
7.61,"Fanconi Anemia, Complementation Group A","Bone diseases, Nephrological diseases, Neuronal diseases, Mental diseases, Immune diseases, Blood diseases, Skin diseases, Genetic diseases, Rare diseases, Fetal diseases, Cancer diseases",337,9,"APEX1, IDH2, MRE11, REV3L, RFWD3, RNF168, SPIRE2, TERT, TOP3A",https://www.malacards.org/card/fanconi_anemia_complementation_group_a,Causative mutation,RFWD3,,
7.38,Prostate Cancer,"Reproductive diseases, Genetic diseases, Rare diseases, Cancer diseases",1262,11,"ACP3, APEX1, CAV2, ITGA2, MRE11, PAWR, PIK3CB, PLAC8, RBFOX2, TERT, VAV3",https://www.malacards.org/card/prostate_cancer,,,Bone,"ACP3, PLAC8, RBFOX2"
7.20,Colorectal Cancer,"Gastrointestinal diseases, Metabolic diseases, Genetic diseases, Rare diseases, Cancer diseases",1701,11,"ABCG8, APEX1, B3GAT2, CSNK1E, IDH2, ITGA2, MRE11, PIK3CB, REV3L, SLC4A4, TERT",https://www.malacards.org/card/colorectal_cancer,Causative mutation,REV3L,"Blood, Colon","ABCG8, B3GAT2, SLC4A4"
6.94,Hereditary Spastic Paraplegia,"Gastrointestinal diseases, Nephrological diseases, Eye diseases, Neuronal diseases, Respiratory diseases, Muscle diseases, Mental diseases, Oral diseases, Skin diseases, Ear diseases, Metabolic diseases, Genetic diseases, Rare diseases",498,10,"CAPZA2, DNAJB4, FIG4, FUS, NT5C2, PCYT2, RANBP2, REEP2, SEC23IP, TGOLN2",https://www.malacards.org/card/hereditary_spastic_paraplegia,,,Skeletal Muscle,"CAPZA2, DNAJB4, RANBP2"
6.63,Breast Cancer,"Reproductive diseases, Immune diseases, Skin diseases, Genetic diseases, Rare diseases, Cancer diseases",1682,9,"APEX1, E2F2, ITGA2, MARVELD3, MRE11, PIK3CB, SLC7A11, TERT, ZNF217",https://www.malacards.org/card/breast_cancer,Causative mutation,MRE11,Breast,"ITGA2, MARVELD3"
6.54,Ovarian Cancer,"Endocrine diseases, Reproductive diseases, Genetic diseases, Rare diseases, Cancer diseases",845,8,"APEX1, CCBE1, E2F2, ITGA2, MRE11, PIK3CB, TERT, ZNF217",https://www.malacards.org/card/ovarian_cancer,Causative mutation,MRE11,,
5.94,Amyotrophic Lateral Sclerosis,"Neuronal diseases, Respiratory diseases, Muscle diseases, Mental diseases, Oral diseases, Genetic diseases, Rare diseases",571,6,"APEX1, EPHA4, FIG4, FUS, PAWR, PIK3CB",https://www.malacards.org/card/amyotrophic_lateral_sclerosis,"Causative mutation, Unconfirmed association","EPHA4, FIG4, FUS",,
