Score,SuperPath Name,# SuperPath Total Genes,# SuperPath Matched Genes,Matched Genes (Symbols),Evidence URL
26.31,CCL18 Signaling Pathway,96,7,"MMP2, SMAD3, CXCL8, SNAI1, CDH1, CDH2, BMI1",https://pathcards.genecards.org/card/ccl18_signaling_pathway
20.50,CKAP4 Signaling Pathway Map,108,6,"CCN2, SMAD3, TNF, SNAI1, CDH1, BMI1",https://pathcards.genecards.org/card/ckap4_signaling_pathway_map
19.82,Lung Fibrosis,63,5,"MMP2, CCN2, TNF, CXCL8, GREM1",https://pathcards.genecards.org/card/lung_fibrosis
17.76,ERK Signaling,1185,14,"CCN2, RND2, SOX6, SOX9, SMAD3, TCF4, TNF, JUNB, CXCL8, SEPTIN4, SNAI1, CDH1, FZD2, CDH2",https://pathcards.genecards.org/card/erk_signaling
17.21,Epithelial to Mesenchymal Transition in Colorectal Cancer,161,6,"MMP2, SMAD3, SNAI1, CDH1, FZD2, CDH2",https://pathcards.genecards.org/card/epithelial_to_mesenchymal_transition_in_colorectal_cancer
17.01,Colorectal Cancer Metastasis,165,6,"MMP2, SMAD3, TCF4, TNF, CDH1, FZD2",https://pathcards.genecards.org/card/colorectal_cancer_metastasis
16.64,Nervous System Development,1269,14,"MMP2, SOX9, SMAD3, TCF4, PRNP, TNF, POU3F3, CLASP1, PLXNA3, SNAI1, CDH1, CDH2, GREM1, HOXD3",https://pathcards.genecards.org/card/nervous_system_development
16.54,Neural Crest Differentiation,101,5,"SOX9, TCF4, SNAI1, CDH1, CDH2",https://pathcards.genecards.org/card/neural_crest_differentiation
16.20,SARS-CoV-2 Innate Immunity Evasion and Cell-specific Immune Response,50,4,"TBK1, SMAD3, TNF, CXCL8",https://pathcards.genecards.org/card/sars-cov-2_innate_immunity_evasion_and_cell-specific_immune_response
15.88,NRP1-triggered Signaling Pathways in Pancreatic Cancer,53,4,"MMP2, CCN2, SMAD3, SNAI1",https://pathcards.genecards.org/card/nrp1-triggered_signaling_pathways_in_pancreatic_cancer
14.17,Regulation of Nuclear Beta Catenin Signaling and Target Gene Transcription,72,4,"MMP2, TCF4, CXCL8, CDH1",https://pathcards.genecards.org/card/regulation_of_nuclear_beta_catenin_signaling_and_target_gene_transcription
